url,product,category,subcategory,brand,volume,weight,details
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-1-l/,Aceite De Oliva Virgen Extra Carrefour 1 L.,aceite_oliva,virgen extra,carrefour,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,aceite_oliva,virgen extra,carrefour,0.5,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-750-ml/,Aceite De Oliva Virgen Extra Carrefour 750 Ml.,aceite_oliva,virgen extra,carrefour,0.75,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-garrafa-5-l/,Aceite De Oliva Virgen Extra Carrefour Garrafa 5 L.,aceite_oliva,virgen extra,carrefour,5.0,,garrafa
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-spray-200-ml/,Aceite De Oliva Virgen Extra Carrefour Spray 200 Ml.,aceite_oliva,virgen extra,carrefour,0.2,,spray
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-coosur-1-l/,Aceite De Oliva Virgen Extra Coosur 1 L.,aceite_oliva,virgen extra,coosur,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-coosur-garrafa-de-5-l/,Aceite De Oliva Virgen Extra Coosur Garrafa De 5 L.,aceite_oliva,virgen extra,coosur,5.0,,garrafa
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-coosur-gran-seleccion-750-ml/,Aceite De Oliva Virgen Extra Coosur Gran Selección 750 Ml.,aceite_oliva,virgen extra,coosur,0.75,,gran selección
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-dcoop-1-l/,Aceite De Oliva Virgen Extra Dcoop 1 L.,aceite_oliva,virgen extra,dcoop,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-dcoop-5-l/,Aceite De Oliva Virgen Extra Dcoop 5 L.,aceite_oliva,virgen extra,dcoop,5.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-1-l/,Aceite De Oliva Virgen Extra De Nuestra Tierra 1 L.,aceite_oliva,virgen extra,nuestra tierra,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",aceite_oliva,virgen extra,nuestra tierra,2.5,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-500-ml/,Aceite De Oliva Virgen Extra De Nuestra Tierra 500 Ml.,aceite_oliva,virgen extra,nuestra tierra,0.5,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-do-estepa-500-ml/,Aceite De Oliva Virgen Extra De Nuestra Tierra D.o Estepa 500 Ml.,aceite_oliva,virgen extra,nuestra tierra,0.5,,d.o estepa
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-do-les-garrigues-50-cl/,Aceite De Oliva Virgen Extra De Nuestra Tierra D.o Les Garrigues 50 Cl.,aceite_oliva,virgen extra,nuestra tierra,0.5,,d.o les garrigues
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-do-priego-de-cordoba/,Aceite De Oliva Virgen Extra De Nuestra Tierra D.o Priego De Córdoba,aceite_oliva,virgen extra,nuestra tierra,,,d.o priego de córdoba
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-do-sierra-de-segura-lata-50-cl/,Aceite De Oliva Virgen Extra De Nuestra Tierra D.o Sierra De Segura Lata 50 Cl.,aceite_oliva,virgen extra,nuestra tierra,0.5,,d.o sierra de segura lata
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-do-sierra-de-segura-lata-5-l/,Aceite De Oliva Virgen Extra De Nuestra Tierra D.o. Sierra De Segura Lata 5 L.,aceite_oliva,virgen extra,nuestra tierra,5.0,,d.o. sierra de segura lata
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-garrafa-5-l/,Aceite De Oliva Virgen Extra De Nuestra Tierra Garrafa 5 L.,aceite_oliva,virgen extra,nuestra tierra,5.0,,garrafa
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-lata-1-l/,Aceite De Oliva Virgen Extra De Nuestra Tierra Lata 1 L.,aceite_oliva,virgen extra,nuestra tierra,1.0,,lata
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-lata-500-ml/,Aceite De Oliva Virgen Extra De Nuestra Tierra Lata 500 Ml.,aceite_oliva,virgen extra,nuestra tierra,0.5,,lata
